movieId,title,date,genres,
1,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy,
2,Jumanji,1995,Adventure|Children|Fantasy,
3,Grumpier Old Men,1995,Comedy|Romance,
4,Waiting to Exhale,1995,Comedy|Drama|Romance,
5,Father of the Bride Part II,1995,Comedy,
6,Heat,1995,Action|Crime|Thriller,
7,Sabrina,1995,Comedy|Romance,
8,Tom and Huck,1995,Adventure|Children,
9,Sudden Death,1995,Action,
10,GoldenEye,1995,Action|Adventure|Thriller,
11,The Shawshank Redemption,1994,Crime|Drama,
12,Forrest Gump,1994,Drama|Romance,
13,Fight Club,1999,Drama,
14,The Matrix,1999,Action|Sci-Fi,
15,Gladiator,2000,Action|Adventure|Drama,
16,The Dark Knight,2008,Action|Crime|Drama,
17,Inception,2010,Action|Sci-Fi|Thriller,
18,Pulp Fiction,1994,Crime|Drama,
19,Goodfellas,1990,Crime|Drama,
20,The Lord of the Rings: The Fellowship of the Ring,2001,Adventure|Fantasy,
